Designator,Footprint,Quantity,Value,LCSC Part #
C1,DBLANDPATTERN_8,1,10 µF,
C10,DBLANDPATTERN_20,1,100 nF,
C11,DBLANDPATTERN_21,1,100 nF,
C12,DBLANDPATTERN_22,1,100 nF,
C13,DBLANDPATTERN_23,1,100 nF,
C14,DBLANDPATTERN_24,1,100 nF,
C15,DBLANDPATTERN_25,1,100 nF,
C16,DBLANDPATTERN_26,1,100 nF,
C17,DBLANDPATTERN_27,1,10 µF,
C18,DBLANDPATTERN_28,1,10 µF,
C19,DBLANDPATTERN_29,1,100 nF,
C2,DBLANDPATTERN_9,1,22 µF,
C20,DBLANDPATTERN_30,1,30 pF,
C21,DBLANDPATTERN_31,1,30 pF,
C22,DBLANDPATTERN_33,1,100 nF,
C23,DBLANDPATTERN_51,1,10 µF,
C24,DBLANDPATTERN_52,1,10 µF,
C25,DBLANDPATTERN_54,1,2.2 nF,
C26,DBLANDPATTERN_56,1,1 µF,
C27,DBLANDPATTERN_58,1,1 µF,
C28,DBLANDPATTERN_59,1,10 µF,
C3,DBLANDPATTERN_12,1,4.7 µF,
C4,DBLANDPATTERN_13,1,4.7 µF,
C5,DBLANDPATTERN_15,1,4.7 µF,
C6,DBLANDPATTERN_16,1,100 nF,
C7,DBLANDPATTERN_17,1,100 nF,
C8,DBLANDPATTERN_18,1,100 nF,
C9,DBLANDPATTERN_19,1,100 nF,
D1,DBLANDPATTERN_4,1,KT-0805G,
D2,TPD8S009_COMPOSITE_LANDPATTERN,1,TPD8S009DSMR,
D3,SRV05_4A_COMPOSITE_LANDPATTERN,1,SRV05-4A,
D4,SRV05_4A_COMPOSITE_LANDPATTERN_1,1,SRV05-4A,
D5,SRV05_4A_COMPOSITE_LANDPATTERN_2,1,SRV05-4A,
D6,SRV05_4A_COMPOSITE_LANDPATTERN_3,1,SRV05-4A,
J1,Pkg_TYPEC31M12LANDPATTERN,1,TYPE-C-31-M-12,
J2,DBLANDPATTERN_35,1,HDMI-001S,
J3,JSTXH10_COMPOSITE_LANDPATTERN,1,B10B-XH-A(LF)(SN),
J4,JSTXH10_COMPOSITE_LANDPATTERN_1,1,B10B-XH-A(LF)(SN),
J5,JSTPH2_COMPOSITE_LANDPATTERN,1,B2B-PH-K-S(LF)(SN),
L1,DBLANDPATTERN_1,1,2.2 µH,
L2,AOTAB201610S3R3_COMPOSITE_LANDPATTERN,1,AOTA-B201610S3R3-101-T,
L3,DBLANDPATTERN_5,1,GZ2012D101TF,
L4,DBLANDPATTERN_36,1,GZ2012D601TF,
L5,DBLANDPATTERN_49,1,GZ2012D601TF,
L6,DBLANDPATTERN_50,1,GZ2012D601TF,
R1,DBLANDPATTERN_6,1,5.1 kΩ,
R10,DBLANDPATTERN_39,1,0 Ω,
R11,DBLANDPATTERN_40,1,0 Ω,
R12,DBLANDPATTERN_41,1,0 Ω,
R13,DBLANDPATTERN_42,1,0 Ω,
R14,DBLANDPATTERN_43,1,0 Ω,
R15,DBLANDPATTERN_44,1,0 Ω,
R16,DBLANDPATTERN_45,1,4.7 kΩ,
R17,DBLANDPATTERN_46,1,4.7 kΩ,
R18,DBLANDPATTERN_47,1,110 kΩ,
R19,DBLANDPATTERN_48,1,165 kΩ,
R2,DBLANDPATTERN_7,1,5.1 kΩ,
R20,DBLANDPATTERN_53,1,3.3 kΩ,
R21,DBLANDPATTERN_55,1,0 Ω,
R22,DBLANDPATTERN_57,1,100 kΩ,
R3,DBLANDPATTERN_10,1,51.7 kΩ,
R4,DBLANDPATTERN_11,1,11.5 kΩ,
R5,DBLANDPATTERN_14,1,33 Ω,
R6,DBLANDPATTERN_32,1,10 kΩ,
R7,DBLANDPATTERN_34,1,1 kΩ,
R8,DBLANDPATTERN_37,1,0 Ω,
R9,DBLANDPATTERN_38,1,0 Ω,
S1,DBLANDPATTERN_2,1,TS-1187A-B-A-B,
S2,DBLANDPATTERN_3,1,TS-1187A-B-A-B,
U1,DBLANDPATTERN,1,SMF5.0A,
U2,TLV62569_COMPOSITE_LANDPATTERN,1,TLV62569DBVR,
U3,RP2350B_COMPOSITE_LANDPATTERN,1,RP2350B,
U4,W25Q128JV_COMPOSITE_LANDPATTERN,1,W25Q128JVSIQ,
U5,PAM8302A_COMPOSITE_LANDPATTERN,1,PAM8302AASCR,
Y1,CRYSTAL12MHZ_COMPOSITE_LANDPATTERN,1,X322512MSB4SI,
