Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SRV05-4A","SRV05_4A_COMPOSITE_LANDPATTERN",129.500000,-132.000000,0.000000,bottom
"D2","SRV05-4A","SRV05_4A_COMPOSITE_LANDPATTERN_1",149.500000,-132.000000,0.000000,bottom
"J1","B10B-XH-A(LF)(SN)","JSTXH10_COMPOSITE_LANDPATTERN",139.500000,-139.000000,0.000000,bottom
"R1","10 kΩ","DBLANDPATTERN",107.000000,-90.000000,0.000000,bottom
"R2","10 kΩ","DBLANDPATTERN_1",107.000000,-126.000000,0.000000,bottom
"R3","10 kΩ","DBLANDPATTERN_2",89.000000,-108.000000,0.000000,bottom
"R4","10 kΩ","DBLANDPATTERN_3",125.000000,-108.000000,0.000000,bottom
"R5","10 kΩ","DBLANDPATTERN_4",167.000000,-126.000000,0.000000,bottom
"R6","10 kΩ","DBLANDPATTERN_5",185.000000,-108.000000,0.000000,bottom
"R7","10 kΩ","DBLANDPATTERN_6",149.000000,-108.000000,0.000000,bottom
"R8","10 kΩ","DBLANDPATTERN_7",167.000000,-90.000000,0.000000,bottom
"R9","220 Ω","DBLANDPATTERN_8",112.000000,-90.000000,0.000000,bottom
"R10","220 Ω","DBLANDPATTERN_9",112.000000,-126.000000,0.000000,bottom
"R11","220 Ω","DBLANDPATTERN_10",94.000000,-108.000000,0.000000,bottom
"R12","220 Ω","DBLANDPATTERN_11",130.000000,-108.000000,0.000000,bottom
"R13","220 Ω","DBLANDPATTERN_12",172.000000,-126.000000,0.000000,bottom
"R14","220 Ω","DBLANDPATTERN_13",190.000000,-108.000000,0.000000,bottom
"R15","220 Ω","DBLANDPATTERN_14",154.000000,-108.000000,0.000000,bottom
"R16","220 Ω","DBLANDPATTERN_15",172.000000,-90.000000,0.000000,bottom
"SW1","K2-1103DP-Q4SW-04","Pkg_TACTILEBUTTONLANDPATTERN",109.500000,-90.000000,0.000000,top
"SW2","K2-1103DP-Q4SW-04","Pkg_TACTILEBUTTONLANDPATTERN",109.500000,-126.000000,0.000000,top
"SW3","K2-1103DP-Q4SW-04","Pkg_TACTILEBUTTONLANDPATTERN",91.500000,-108.000000,0.000000,top
"SW4","K2-1103DP-Q4SW-04","Pkg_TACTILEBUTTONLANDPATTERN",127.500000,-108.000000,0.000000,top
"SW5","K2-1103DP-Q4SW-04","Pkg_TACTILEBUTTONLANDPATTERN",169.500000,-126.000000,0.000000,top
"SW6","K2-1103DP-Q4SW-04","Pkg_TACTILEBUTTONLANDPATTERN",187.500000,-108.000000,0.000000,top
"SW7","K2-1103DP-Q4SW-04","Pkg_TACTILEBUTTONLANDPATTERN",151.500000,-108.000000,0.000000,top
"SW8","K2-1103DP-Q4SW-04","Pkg_TACTILEBUTTONLANDPATTERN",169.500000,-90.000000,0.000000,top
