Designator,Mid X,Mid Y,Rotation,Layer
C1,161.0,-85.0,0.0,top
C10,145.15,-112.47,128.0,bottom
C11,146.69,-108.3,92.0,bottom
C12,145.15,-103.53,52.0,bottom
C13,136.51,-101.45,335.0,bottom
C14,139.2,-102.0,180.0,bottom
C15,142.0,-102.0,180.0,bottom
C16,147.7,-104.0,55.0,bottom
C17,134.0,-117.5,180.0,bottom
C18,143.1,-116.9,180.0,bottom
C19,139.625,-96.6,180.0,bottom
C2,161.0,-89.0,0.0,top
C20,135.3,-118.0,0.0,top
C21,143.7,-118.0,0.0,top
C22,153.5,-131.5,0.0,top
C23,165.0,-85.0,0.0,top
C24,165.0,-131.0,0.0,top
C25,125.2,-122.5,0.0,top
C26,122.5,-122.5,0.0,top
C27,134.1,-121.325,90.0,top
C28,128.5,-124.8,0.0,top
C3,142.5,-98.6,180.0,bottom
C4,130.9,-107.7,272.0,bottom
C5,146.8,-99.4,38.0,bottom
C6,132.95,-105.01,295.0,bottom
C7,132.76,-110.53,249.0,bottom
C8,136.07,-114.33,208.0,bottom
C9,138.61,-115.14,187.0,bottom
D1,160.06,-122.004,0.0,top
D2,126.456,-109.5248,90.0,top
D3,165.0,-101.0,0.0,top
D4,165.0,-95.5,0.0,top
D5,165.0,-115.0,0.0,top
D6,165.0,-120.5,0.0,top
J1,149.5,-80.37505,180.0,top
J2,111.8435,-109.5,270.0,top
J3,170.5,-94.0,90.0,top
J4,170.5,-122.0,90.0,top
J5,129.5,-136.5,0.0,top
L1,157.5,-89.5,0.0,top
L2,143.5,-99.0,270.0,top
L3,148.5,-104.959,90.0,top
L4,119.541,-102.0,0.0,top
L5,165.041,-90.0,0.0,top
L6,165.041,-126.0,0.0,top
R1,155.7,-81.3,0.0,top
R10,132.2,-108.0,0.0,top
R11,130.2,-108.0,0.0,top
R12,132.2,-110.0,0.0,top
R13,130.2,-110.0,0.0,top
R14,132.2,-112.0,0.0,top
R15,130.2,-112.0,0.0,top
R16,123.5,-99.0,0.0,top
R17,120.5,-99.0,0.0,top
R18,121.0,-115.5,0.0,top
R19,118.5,-115.5,0.0,top
R2,155.7,-78.3,0.0,top
R20,125.2,-119.5,0.0,top
R21,122.5,-119.5,0.0,top
R22,125.2,-116.5,0.0,top
R3,153.0,-87.0,0.0,top
R4,153.0,-89.0,0.0,top
R5,146.5,-99.0,0.0,top
R6,153.5,-128.5,0.0,top
R7,156.0,-122.0,0.0,top
R8,132.2,-106.0,0.0,top
R9,130.2,-106.0,0.0,top
S1,136.5,-130.0,0.0,top
S2,146.5,-130.0,0.0,top
U1,144.5,-86.0005,0.0,top
U2,157.5,-85.0,0.0,top
U3,139.5,-108.0,0.0,top
U4,136.0,-98.0,0.0,top
U5,129.5,-121.0,0.0,top
Y1,139.5,-118.0,0.0,top
